Title,Link,Teaser,ProjectLink,Status,License,Abstract,Y-Type,Y-Topic-cnx,Skills,MoreInfo,Y-EducPurpose,X-Language,X-Partner-by
Commons,https://openedu.ch/en/5/commons,A free to access multimedia resources archive,https://commons.wikimedia.org/,,CC by SA,"Wikimedia Commons, or simply Commons, is an online archive of free-to-access and use digital images, sounds and other multimedia files. It is one of the largest archives of multimedia resources for educational and documentary purposes that can be freely used to make presentations, reports, documents and other creations. The files in this archive can be used directly by all other Wikimedia projects.

",Platform,"Arts,Business,Humanities,Mathematics & Statistics,Science & Technology,Social Sciences","4 Digital,""5 Personal, social, learning to learn"",6 Citizenship,7 Entrepreneurship,8 Cultural awareness and expression","Files from Wikimedia Commons can be used across all Wikimedia projects in all languages, including Wikipedia, Wiktionary, Wikibooks, Wikivoyage, Wikispecies, Wikisource, and Wikinews, or downloaded for offsite use. As of May 2020, the repository contains over 61 million free media files, managed and editable by registered volunteers.
The project was proposed by Erik Möller in March 2004 and launched on September 7, 2004. A key motivation behind the setup of a central repository was the desire to reduce duplication of effort across the Wikimedia projects and languages, as the same file had to be uploaded to many different wikis separately before Commons was created.
The aim of Wikimedia Commons is to provide a media file repository ""that makes available public domain and freely-licensed educational media content to all, and that acts as a common repository for the various projects of the Wikimedia Foundation."" The expression ""educational"" is to be understood according to its broad meaning of ""providing knowledge; instructional or informative"".
Source: https://en.wikipedia.org/wiki/Wikimedia_Commons",,"English,German,French,Italian,Other languages",Wikimedia Community
Wikipedia,https://openedu.ch/en/4/wikipedia,278 languages - 49.000.000 articles,https://en.wikipedia.org/,,CC by SA,"The free encyclopedia that anyone can edit. Wikipedia is created and maintained as an open collaboration project by a community of volunteer editors, using a wiki-based editing system. It is the largest and most popular general reference work on the World Wide Web, and is one of the 20 most popular websites in the world.",Platform,"Arts,Business,Humanities,Mathematics & Statistics,Science & Technology,Social Sciences","1 Literacy,2 Multilingual,""3 Mathematical, science, technology, engineering"",4 Digital,""5 Personal, social, learning to learn"",6 Citizenship,7 Entrepreneurship,8 Cultural awareness and expression","It features exclusively free content and no commercial ads and is owned and supported by the Wikimedia Foundation, funded primarily through donations.",,"English,German,French,Italian,Other languages",Wikimedia Foundation
Unesco OER Recommendation 2019,https://openedu.ch/en/14/unesco-oer-recommendation-2019,The relevance of Open Educational Resources,http://portal.unesco.org/en/ev.php-URL_ID=49556&URL_DO=DO_TOPIC&URL_SECTION=201.html,,CC by,"On 25th of November 2019, the 40th General Conference of UNESCO adopted the UNESCO OER Recommendation. In this important Recommendation Unesco underlines that in the realization of Inclusive Knowledge Societies, Open Educational Resources (OER) support quality education that is equitable, inclusive, open and participatory.

",News,,8 Cultural awareness and expression,"The OER definition of the UNESCO OER Recommendation says:
“Open Educational Resources (OER) are learning, teaching and research materials in any format and medium that reside in the public domain or are under copyright that have been released under an open license, that permit no-cost access, re-use, re-purpose, adaptation and redistribution by others.”
And open license is defined as:
“Open license refers to a license that respects the intellectual property rights of the copyright owner and provides permissions granting the public the rights to access, re-use, re-purpose, adapt and redistribute educational materials.”
And connect Open education to SDG 4: 
Connecting education: “to the  achievement of Sustainable Development Goal 4 (SDG 4), which calls for the international community to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all”. Further referring to the Education 2030 Framework for Action that lists a set of strategic approaches for the implementation of SDG 4, and which underlines that increasing access must be accompanied by measures that improve the quality and relevance of education and learning, and in particular that “education institutions and programmes should be adequately and equitably resourced with safe, environment-friendly and easily accessible facilities; sufficient numbers of teachers and educators of quality using learner-centred, active and collaborative pedagogical approaches; and books, other learning materials, open educational resources and technology that are non-discriminatory, learning conducive, learner friendly, context specific, cost effective and available to all learners – children, youth and adults” [...]
Download Pdf version
",,"English,French,Other languages",
Wikidata,https://openedu.ch/en/7/wikidata,A central storage for open structured data,https://www.wikidata.org/,,CC by SA,"Wikidata is a database edited collaboratively which includes topics, concepts, or objects. Each item is identified by a unique number, prefixed with the letter Q, known as a ""QID"". Wikidata contents are available under a public domain license, exportable using standard formats and can be interlinked to other open datasets. Wikidata serves as central storage for structured data from its sister Wikimedia projects, including Wikipedia, Wikivoyage, Wiktionary, Wikisource and others.",Platform,"Arts,Business,Humanities,Mathematics & Statistics,Science & Technology,Social Sciences","1 Literacy,2 Multilingual,""3 Mathematical, science, technology, engineering"",4 Digital,7 Entrepreneurship",,,"English,German,French,Italian",Wikimedia Foundation
Wiki2Map,https://openedu.ch/en/15/wiki2map,Create mental maps with Wikimedia contents,https://wiki2map.org/,,CC by SA,"It is a site which allows you to create mental maps drawing on the contents of the Wikimedia platforms, created thanks to funding from Wikimedia-CH. It facilitates the understanding of fundamental concepts through a mental map, thus supporting even those with reading difficulties.",Tool,"Arts,Business,Humanities,Mathematics & Statistics,Science & Technology,Social Sciences","1 Literacy,2 Multilingual","Wiki2map is particularly useful for reading lessons on Wikiversity, especially for primary and secondary schools.",,"English,German,French,Italian,Spanish,Other languages",Wikimedia CH
Wikivoyage,https://openedu.ch/en/6/wikivoyage,"A free online world travel guide, written by volunteers",https://www.wikivoyage.org/,,CC by SA,"Wikivoyage is a free online world travel guide, written by volunteers; which intends to be a reliable resource of free contents, updated by voluntary users (wikivoyagers) from different parts of the world.It is possible to integrate entries, insert itineraries and further details.

",Platform,Humanities,"1 Literacy,2 Multilingual,4 Digital,""5 Personal, social, learning to learn"",6 Citizenship,7 Entrepreneurship,8 Cultural awareness and expression","Wikivoyage's purpose is to create an updatable, reliable and free content world travel guide.
It is still a young and constantly growing project, anyone who wishes to contribute with texts, images and corrections will be welcome. Articles can cover different levels of geographic specificity, from continents to districts of a city. The project also includes articles on travel-related topics, phrasebooks for travelers, and suggested itineraries.",,"English,German,French,Italian",Wikimedia Community
A Guide To Wikiversity,https://openedu.ch/en/10/a-guide-to-wikiversity,How to explore free educational resources,https://en.wikiversity.org/wiki/Wikiversity:Browse,,CC by SA,A Guide to Wikiversity: This page offers a reasonably comprehensive guide to categorized Wikiversity content. The lists here are mainly generated dynamically (automatically) and provide multiple alternative navigation pathways. It is also possible to browse Wikiversity resources by name (alphabetical listing).,Training,,"1 Literacy,2 Multilingual,""3 Mathematical, science, technology, engineering"",4 Digital,""5 Personal, social, learning to learn""","Browse this guide you will find content:
 
- By School
- By Resource Type
- By Learning Project
- By Educational Level
- By Participation
- By Completion status
 
Or you may browse these Wikiversity content as examples: 
Capture a digital image - https://en.wikiversity.org/wiki/Capture_a_digital_image
Edit a digital image - https://en.wikiversity.org/wiki/Edit_a_digital_image
Bacteria and the body - https://en.wikiversity.org/wiki/Bacteria_and_the_body
Environmental education - https://en.wikiversity.org/wiki/Environmental_education",,"English,Italian",Wikimedia Community
Evaluation Dashboard,https://openedu.ch/en/9/evaluation-dashboard,A tool to simply evaluate editing activities on Wikimedia projects,https://outreachdashboard.wmflabs.org/,,CC by SA,"Easily online tool to manage editing activity on Wikimedia. The basic purpose of the dashboard is to provide a way to organize groups of editors who are working on a common project, and to make it easy to keep track of what they are doing and how they are contributing.

","Tool,Platform",,8 Cultural awareness and expression,,,English,WikiEdu
Wiki Science Competition,https://openedu.ch/en/3/wiki-science-competition,The international science photo contest,https://www.wikisciencecompetition.org/,,CC by SA,"Wiki Science Competition is an international scientific photo competition organised by the Wikimedia community. The annual competition is open to all and participants must create science-related images and upload them under a free license. It is impossible to imagine our culture without science. And in the visual world we live in, it's not enough to talk about science; you have to see it.",Event,,"""3 Mathematical, science, technology, engineering"",4 Digital,6 Citizenship,8 Cultural awareness and expression","Participate Check here the competition calendar in the countries that have an organizing team for this annual competition. For all countries without an organizing team, the upload time is November 15 to December 15.
You can participate in the following six categories:
< People in Science - Scientists in their natural habitat
< Microscopy images - Optical, electron, and scanning probe microscopy images all fall under this category.
< Non-photographic media - Audio and video files, computer-generated imagery, etc.
< Image sets - Thematically linked images, that can be viewed as one set. Image set could be made up from up to 10 separate images.
< Wildlife & nature - Organisms who grow or live wild in an area. Macro photography also falls under this category.
< General category - Everything else goes into this category, from archaeology to thermodynamics and from volcanology to astronomy.
",,"English,German,French,Italian,Other languages",Wikimedia EE
Use the Evaluation Dashboard,https://openedu.ch/en/11/use-the-evaluation-dashboard,How to start and monitor editing activities on Wikipedia,https://meta.wikimedia.org/wiki/Programs_%26_Events_Dashboard,,CC by SA,"The basic purpose of the dashboard is to provide an easy way to organize groups of editors who are working on a common project, and to make it easy to keep track of what they are doing and what they've contributed.",Training,,"4 Digital,8 Cultural awareness and expression",,,"English,German,French,Italian",WikiEdu
